Bat species,Virus genus,Virus subgenus,Country,Study type,#,+,Sample type,Sample tissue,Test,Study,🔗
"Mops condylurus","genus not specified","","Guinea","cross-sectional","10","0","single","pooled swabs/samples","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Pipistrellus kuhlii","genus not specified","","Spain","cross-sectional","6","0","pooled","oropharyngeal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Eptesicus fuscus","alphacoronavirus","","United States of America","cross-sectional","4","4","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Rhinolophus megaphyllus","genus not specified","","Australia","longitudinal","448","0","pooled","pooled swabs/samples","PCR","Smith et al. 2016","https://www.doi.org/10.1007/s10393-016-1116-x"
"Epomophorus wahlbergi","betacoronavirus","","Kenya","cross-sectional","3","1","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Rhinolophus lepidus","genus not specified","","Thailand","cross-sectional","3","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Myotis occultus","genus not specified","","United States of America","cross-sectional","9","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Myotis chinensis","genus not specified","","China","cross-sectional","3","0","pooled","pooled swabs/samples","PCR","Lau et al. 2005","https://www.doi.org/10.1073/pnas.0506735102"
"Pteronotus parnellii","genus not specified","","Mexico","cross-sectional","10","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Eptesicus fuscus","alphacoronavirus","","United States of America","cross-sectional","31","2","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Eptesicus fuscus","genus not specified","","Costa Rica","longitudinal","3","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Cardioderma cor","alphacoronavirus","","Kenya","cross-sectional","2","1","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Miniopterus fuliginosus","genus not specified","","China","longitudinal","8","0","pooled","pooled swabs/samples","PCR","Du et al. 2016","https://www.doi.org/10.1007/s11427-016-5039-0"
"Miniopterus schreibersii","alphacoronavirus","","Bulgaria","cross-sectional","38","14","single","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"Miniopterus magnater","alphacoronavirus","","China","cross-sectional","44","10","pooled","pooled swabs/samples","PCR","Chu et al. 2006","https://www.doi.org/10.1099/vir.0.82203-0"
"Pipistrellus nathusii","genus not specified","","Finland","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Kivistö et al. 2020","https://www.doi.org/10.1089/vbz.2018.2367"
"Myotis punicus","genus not specified","","Italy","cross-sectional","8","0","pooled","oropharyngeal","PCR","Lecis et al. 2019","https://www.doi.org/10.1007/s11262-018-1614-8"
"Leptonycteris nivalis","genus not specified","","Mexico","cross-sectional","2","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Pteropus rufus","betacoronavirus","","Madagascar","longitudinal","9","2","pooled","faecal, rectal, or anal","PCR","Razanajatovo et al. 2015","https://www.doi.org/10.1186/s12985-015-0271-y"
"Rhinolophus sinicus","betacoronavirus","Sarbecovirus","China","cross-sectional","118","23","pooled","pooled swabs/samples","PCR","Yuen et al. 2012","https://www.hkmj.org/abstracts/v18n1s2/25.htm"
"Eptesicus fuscus","alphacoronavirus","","United States of America","cross-sectional","40","3","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Pteropus lylei","genus not specified","","Thailand","cross-sectional","35","9","pooled","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2018","https://www.doi.org/10.1186/s12985-018-0950-6"
"Paratriaenops furculus","genus not specified","","Madagascar","cross-sectional","32","0","single","pooled swabs/samples","PCR","Joffrin et al. 2020","https://www.doi.org/10.1038/s41598-020-63799-7"
"Hipposideros armiger","genus not specified","","China","cross-sectional","207","0","pooled","lung or respiratory","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Aselliscus stoliczkanus","genus not specified","","Thailand","cross-sectional","1","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Myotis emarginatus","genus not specified","","Italy","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Lecis et al. 2019","https://www.doi.org/10.1007/s11262-018-1614-8"
"Tadarida teniotis","genus not specified","","Italy","cross-sectional","2","0","pooled","pooled tissue","PCR","Lelli et al. 2013","https://www.doi.org/10.3390/v5112679"
"Hipposideros cineraceus","genus not specified","","Thailand","cross-sectional","3","0","single","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2015","https://www.doi.org/10.1186/s12985-015-0289-1"
