Bat species,Virus genus,Virus subgenus,Country,Study type,#,+,Sample type,Sample tissue,Test,Study,🔗
"Myotis punicus","alphacoronavirus","","Tunisia","cross-sectional","7","2","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Miniopterus schreibersii","genus not specified","","Spain","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Rhinolophus ferrumequinum","alphacoronavirus","","Spain","cross-sectional","1","1","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Tylonycteris robustula","genus not specified","","China","cross-sectional","1","0","single","lung or respiratory","PCR","Lau et al. 2013","https://www.doi.org/10.1128/JVI.01055-13"
"Rousettus aegyptiacus","betacoronavirus","","Guinea","cross-sectional","2","1","single","faecal, rectal, or anal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Myotis occultus","alphacoronavirus","","United States of America","cross-sectional","8","4","single","faecal, rectal, or anal","PCR","Dominguez et al. 2007","https://www.doi.org/10.3201/eid1309.070491"
"Eptesicus fuscus","alphacoronavirus","","United States of America","cross-sectional","3","2","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Rhinolophus hipposideros","genus not specified","","France","cross-sectional","8","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Myonycteris angolensis","genus not specified","","Guinea","cross-sectional","6","0","single","pooled swabs/samples","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Rousettus aegyptiacus","genus not specified","","Kenya","cross-sectional","1","1","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Rhinolophus affinis","genus not specified","","China","cross-sectional","10","0","single","faecal, rectal, or anal","PCR","Wang et al. 2017","https://www.doi.org/10.1038/emi.2016.140"
"Choeroniscus godmani","genus not specified","","Mexico","cross-sectional","6","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Rhinolophus affinis","genus not specified","","China","cross-sectional","10","0","single","faecal, rectal, or anal","PCR","Wang et al. 2017","https://www.doi.org/10.1038/emi.2016.140"
"Myotis evotis","genus not specified","","United States of America","cross-sectional","7","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Myotis fimbriatus","genus not specified","","Taiwan","cross-sectional","22","5","pooled","faecal, rectal, or anal","PCR","Chen et al. 2016","https://www.doi.org/10.1111/zph.12271"
"Plecotus austriacus","genus not specified","","Spain","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Rhinolophus blasii","betacoronavirus","Sarbecovirus","Bulgaria","cross-sectional","82","13","pooled","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"Pipistrellus pipistrellus","genus not specified","","France","cross-sectional","3","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Otomops martiensseni","alphacoronavirus","","Kenya","cross-sectional","19","2","pooled","faecal, rectal, or anal","PCR","Tong et al. 2009","https://www.doi.org/10.3201/eid1503.081013"
"","genus not specified","","France","cross-sectional","1","0","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
"Eptesicus serotinus","genus not specified","","Belgium","cross-sectional","1","0","pooled","lung or respiratory","PCR","Van Gucht et al. 2014","https://www.doi.org/10.7589/2013-10-269"
"Rhinolophus malayanus","genus not specified","","Thailand","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Pipistrellus abramus","genus not specified","","China","cross-sectional","198","0","pooled","lung or respiratory","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Pipistrellus abramus","alphacoronavirus","","China","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Zhou et al. 2018","https://www.doi.org/10.1038/s41586-018-0010-9"
"","alphacoronavirus","","Brazil","cross-sectional","1","1","single","intestine","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Myotis altarium","betacoronavirus","Sarbecovirus","China","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Li et al. 2005","https://www.doi.org/10.1126/science.1118391"
"Pteropus rufus","genus not specified","","Madagascar","longitudinal","3","0","pooled","faecal, rectal, or anal","PCR","Razanajatovo et al. 2015","https://www.doi.org/10.1186/s12985-015-0271-y"
"Rhinolophus affinis","betacoronavirus","Sarbecovirus","China","longitudinal","131","1","repeat","faecal, rectal, or anal","PCR","Hu et al. 2017","https://www.doi.org/10.1371/journal.ppat.1006698"
"Rhinolophus malayanus","genus not specified","","Thailand","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Vespertilio murinus","genus not specified","","Italy","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Lelli et al. 2013","https://www.doi.org/10.3390/v5112679"
"Hipposideros pomona","genus not specified","","China","cross-sectional","1","0","single","pooled swabs/samples","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Asellicus stoliczkamus","betacoronavirus","Sarbecovirus","China","longitudinal","131","3","repeat","faecal, rectal, or anal","PCR","Hu et al. 2017","https://www.doi.org/10.1371/journal.ppat.1006698"
"Myotis macrodactylus","genus not specified","","South Korea","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Myotis nigricans","genus not specified","","Costa Rica","cross-sectional","4","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Rhinolophus ferrumequinum","genus not specified","","South Korea","cross-sectional","12","0","single","oropharyngeal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Cardioderma cor","genus not specified","","Kenya","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Hipposideros ruber","genus not specified","","Gabon","cross-sectional","25","0","single","faecal, rectal, or anal","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Pteronotus parnellii","genus not specified","","Mexico","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Pipistrellus savii","genus not specified","","Italy","cross-sectional","5","0","pooled","pooled swabs/samples","PCR","Rizzo et al. 2017","https://www.doi.org/10.1186/s12917-017-1307-x"
"Miniopterus inflatus","genus not specified","","Gabon","cross-sectional","7","0","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Myotis pilosus","genus not specified","","China","cross-sectional","175","0","pooled","lung or respiratory","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Hipposideros armiger","genus not specified","","Thailand","cross-sectional","2","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Hipposideros larvatus","coinfection","","Myanmar","cross-sectional","16","3","pooled","faecal, rectal, or anal","PCR","Valitutto et al. 2020","https://www.doi.org/10.1371/journal.pone.0230802"
"Myotis daubentonii","genus not specified","","Spain","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Myotis chinensis","genus not specified","","China","cross-sectional","3","0","pooled","pooled swabs/samples","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Uroderma bilobatum","genus not specified","","Mexico","cross-sectional","2","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Rhinolophus pusillus","betacoronavirus","Sarbecovirus","China","longitudinal","112","28","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Rousettus aegyptiacus","genus not specified","","Rwanda","cross-sectional","13","0","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Nyctinomops laticaudatus","genus not specified","","Brazil","cross-sectional","1","0","single","intestine","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Myotis siligorensis","genus not specified","","Thailand","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Desmodus rotundus","alphacoronavirus","","Brazil","cross-sectional","41","1","single","faecal, rectal, or anal","PCR","Asano et al. 2016","https://www.doi.org/10.1186/s12985-016-0569-4"
"Rhinolophus ferrumequinum","genus not specified","","Italy","cross-sectional","11","0","pooled","faecal, rectal, or anal","PCR","Balboni et al. 2011","https://www.doi.org/10.1017/S0950268810001147"
"Rhinolophus pusillus","betacoronavirus","Sarbecovirus","China","cross-sectional","2","0","single","lung or respiratory","PCR","Li et al. 2005","https://www.doi.org/10.1126/science.1118391"
"Lasionycteris noctivagans","genus not specified","","United States of America","cross-sectional","3","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Rhinolophus affinis","genus not specified","","China","longitudinal","359","0","pooled","faecal, rectal, or anal","PCR","Lau et al. 2013","https://www.doi.org/10.1128/JVI.01055-13"
"Ptenochirus jagori","genus not specified","","Philippines","cross-sectional","1","0","single","intestine","PCR","Watanabe et al. 2010","https://www.doi.org/10.3201/eid1608.100208"
"Uroderma bilobatum","genus not specified","","Mexico","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Rhinolophus ferrumequinum","genus not specified","","South Korea","cross-sectional","1","0","single","pooled tissue","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Neoromicia matroka","genus not specified","","Madagascar","cross-sectional","4","0","single","intestine","PCR","Joffrin et al. 2020","https://www.doi.org/10.1038/s41598-020-63799-7"
"Cynopterus brachyotis","genus not specified","","Singapore","cross-sectional","144","0","pooled","pooled swabs/samples","PCR","Mendenhall et al. 2017","https://www.doi.org/10.1111/tbed.12568"
"Eidolon helvum","betacoronavirus","","Guinea","cross-sectional","6","1","single","faecal, rectal, or anal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Molossops temminckii","genus not specified","","Brazil","cross-sectional","1","0","single","intestine","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Lasionycteris noctivagans","genus not specified","","United States of America","cross-sectional","13","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Platyrrhinus lineatus","genus not specified","","Brazil","cross-sectional","1","0","single","liver","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Rousettus aegyptiacus","genus not specified","","Guinea","cross-sectional","2","0","single","pooled swabs/samples","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Myotis myotis","genus not specified","","China","cross-sectional","3","0","pooled","faecal, rectal, or anal","PCR","Poon et al. 2005","https://www.doi.org/10.1128/JVI.79.4.2001-2009.2005"
"Kerivoula intermedia","genus not specified","","Malaysian Borneo","longitudinal","44","0","pooled","faecal, rectal, or anal","PCR","Seltmann et al. 2017","https://www.doi.org/10.1007/s10393-017-1245-x"
"Pteropus lylei","genus not specified","","Thailand","cross-sectional","20","0","pooled","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2018","https://www.doi.org/10.1186/s12985-018-0950-6"
"Rhinolophus affinis","betacoronavirus","Sarbecovirus","China","cross-sectional","106","1","pooled","faecal, rectal, or anal","PCR","Ge et al. 2016","https://www.doi.org/10.1007/s12250-016-3713-9"
"Molossus rufus","alphacoronavirus","","Brazil","cross-sectional","56","1","single","intestine","PCR","Góes et al. 2016","https://www.doi.org/10.1016/j.meegid.2016.07.034"
"Hipposideros caffer","betacoronavirus","","Rwanda","cross-sectional","15","1","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Miniopterus pusillus","alphacoronavirus","","China","cross-sectional","19","12","pooled","faecal, rectal, or anal","PCR","Poon et al. 2005","https://www.doi.org/10.1128/JVI.79.4.2001-2009.2005"
"Hipposideros gigas","genus not specified","","Ghana","longitudinal","12","0","pooled","faecal, rectal, or anal","PCR","Corman et al. 2015","https://www.doi.org/10.1128/JVI.01755-15"
"Taphozous perforatus","genus not specified","","Saudi Arabia","cross-sectional","29","0","single","oropharyngeal","PCR","Memish et al. 2013","https://www.doi.org/10.3201/eid1911.131172"
"Pipistrellus kuhlii","alphacoronavirus","","Italy","cross-sectional","56","1","single","faecal, rectal, or anal","PCR","Rizzo et al. 2017","https://www.doi.org/10.1186/s12917-017-1307-x"
"Plecotus austriacus","genus not specified","","France","cross-sectional","4","0","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
"Triaenops afer","alphacoronavirus","","Kenya","cross-sectional","15","2","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Hipposideros pomona","alphacoronavirus","","China","longitudinal","10","0","pooled","faecal, rectal, or anal","PCR","Zhou et al. 2018","https://www.doi.org/10.1038/s41586-018-0010-9"
"Pipistrellus pipistrellus","genus not specified","","Netherlands","longitudinal","6","0","pooled","faecal, rectal, or anal","PCR","Annan et al. 2013","https://www.doi.org/10.3201/eid1903.121503"
"","genus not specified","","China","cross-sectional","6","0","single","urinary","PCR","Wang et al. 2017","https://www.doi.org/10.1038/emi.2016.140"
"Myotis bechsteinii","genus not specified","","Hungary","cross-sectional","125","0","pooled","faecal, rectal, or anal","PCR","Kemenesi et al. 2014","https://www.doi.org/10.1089/vbz.2014.1637"
"Myotis ikonnikovi","genus not specified","","South Korea","cross-sectional","6","0","single","faecal, rectal, or anal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
